id,notation,pref_label_en,code_status,note
apqc-3.0,3.0,Market and Sell Products and Services,provisional,"Cross-industry PCF category. Only the categories referenced by an alignment are carried here; the full framework is licensed by APQC and must be obtained from apqc.org."
apqc-6.0,6.0,Manage Customer Service,provisional,
apqc-7.0,7.0,Develop and Manage Human Capital,provisional,
apqc-8.0,8.0,Manage Information Technology,provisional,
apqc-11.0,11.0,"Manage Enterprise Risk, Compliance, Remediation, and Resiliency",provisional,
